,,単語,意味,フレーズ,訳,英作問題,和訳問題,
1071 ,,grocery,食料品,go to the grocery store,食料品店に行く,go to the (    ) store,(    )店に行く,
1072 ,,secretary,秘書,his secretary's desk,彼の秘書の机,his (    )'s desk,彼の(    )の机,
1073 ,,dialect,方言,speak the local dialect,地元の方言を話す,speak the local (    ),地元の(    )を話す,
1074 ,,astronomy,天文学,Galileo's astronomy,ガリレオの天文学,Galileo's (    ),ガリレオの(    ),
1075 ,,youngster,子ども,today's youngsters,今日の子どもたち,today's (    ),今日の(    )たち,
1076 ,,substance,物質,a dangerous substance,危険な物質,a dangerous (    ),危険な(    ),
1077 ,,finding,発見,recent research findings,最近の研究による発見,recent research (    ),最近の研究による(    ),
1078 ,,strategy,戦略,British military strategy,イギリスの軍事戦略,British military (    ),イギリスの軍事(    ),
1079 ,,lung,肺,his heart and lungs,彼の心臓と肺,his heart and (    ),彼の心臓と(    ),
1080 ,,opponent,敵,beat an opponent,敵を倒す,beat an (    ),(    )を倒す,
1081 ,,ritual,儀式,a religious ritual,宗教的な儀式,a religious (    ),宗教的な(    ),
1082 ,,outcome,結果,the outcome of the race,レースの結果,the (    ) of the race,レースの(    ),
1083 ,,conservation,環境保護,conservation groups,環境保護団体,(    ) groups,(    )団体,
1084 ,,mammal,哺乳類,whales and other sea mammals,クジラなどの海の哺乳類,whales and other sea (    ),クジラなどの海の(    ),
1085 ,,telescope,望遠鏡,NASA's space telescope,NASAの宇宙望遠鏡,NASA's space (    ),NASAの宇宙(    ),
1086 ,,refugee,難民,refugee camps in Palestine,パレスチナの難民キャンプ,(    ) camps in Palestine,パレスチナの(    )キャンプ,
1087 ,,code,規則,a strict dress code,厳しい服装規則,a strict dress (    ),厳しい服装(    ),
1088 ,,flavor,風味,the flavor of fresh fruit,新鮮なフルーツの風味,the (    ) of fresh fruit,新鮮なフルーツの(    ),
1089 ,,particle,粒子,the particles of light,光の粒子,the (    ) of light,光の(    ),
1090 ,,nursing,看護,24-hour nursing,24時間看護,24-hour (    ),24時間(    ),
1091 ,,suicide,自殺,commit suicide,自殺をする,commit (    ),(    )をする,
1092 ,,habitat,生息地,the natural habitat of bears,クマの自然生息地,the natural (    ) of bears,クマの自然(    ),
1093 ,,bullying,いじめ,bullying in schools,学校のいじめ,(    ) in schools,学校の(    ),
1094 ,,dinosaur,恐竜,Dinosaurs died out.,恐竜は絶滅した,(    ) died out.,(    )は絶滅した,
1095 ,,council,議会,the New York City Council,ニューヨーク市議会,the New York City (    ),ニューヨーク市(    ),
1096 ,,gender,性別,age and gender,年齢と性別,age and (    ),年齢と(    ),
1097 ,,surgery,手術,have open heart surgery,心臓切開手術を受ける,have open heart (    ),心臓切開(    )を受ける,
1098 ,,innovation,革新,technological innovation,技術革新,technological (    ),技術(    ),
1099 ,,protein,タンパク質,high-protein food,高タンパク質の食べ物,high-(    ) food,高(    )の食べ物,
1100 ,,nutrition,栄養,enough sleep and nutrition,十分な睡眠と栄養,enough sleep and (    ),十分な睡眠と(    ),
1101 ,,disaster,災害,prepare for natural disaster,自然災害に備える,prepare for natural (    ),自然(    )に備える,
1102 ,,emission,排出,greenhouse gas emissions,温室効果ガスの排出,greenhouse gas (    ),温室効果ガスの(    ),
1103 ,,ape,類人猿,monkeys and apes,猿と類人猿,monkeys and (    ),猿と(    ),
1104 ,,molecule,分子,a single DNA molecule,１つのDNA分子,a single DNA (    ),１つのDNA(    ),
1105 ,,sweat,汗,the smell of sweat,汗の臭い,the smell of (    ),(    )の臭い,
1106 ,,transplant,移植,a heart transplant operation,心臓移植の手術,a heart (    ) operation,心臓(    )の手術,
1107 ,,species,種,many species of birds,多くの種の鳥,many (    ) of birds,多くの(    )の鳥,
1108 ,,tip,先,the tip of my finger,私の指の先,the (    ) of my finger,私の指の(    ),
1109 ,,cattle,牛,raise sheep and cattle,羊と牛を育てる,raise sheep and (    ),羊と(    )を育てる,
1110 ,,density,密度,high population density,高い人口密度,high population (    ),高い人口(    ),
1111 ,,concept,概念,the concept of time,時間の概念,the (    ) of time,時間の(    ),
1112 ,,pale,青白い,You look pale.,君は青白い顔をしている,You look (    ).,君は(    )顔をしている,
1113 ,,precious,貴重な,precious jewels,貴重な宝石,(    ) jewels,(    )宝石,
1114 ,,loyal,忠実な,a worker loyal to the company,会社に忠実な労働者,a worker (    ) to the company,会社に(    )労働者,
1115 ,,isolated,孤立している,be isolated from the world,世界から孤立している,be (    ) from the world,世界から(    ),
1116 ,,generous,気前のよい,a generous offer,気前のよい申し出,a (    ) offer,(    )申し出,
1117 ,,tropical,熱帯,tropical rain forests,熱帯雨林,(    ) rain forests,(    )雨林,
1118 ,,reluctant,したがらない,be reluctant to talk about the past,過去について話したがらない,be (    ) to talk about the past,過去について話(    ),
1119 ,,vague,漠然とした,a vague feeling of uneasiness,漠然とした不安感,a (    ) feeling of uneasiness,(    )不安感,
1120 ,,vast,広大な,the vast land of Russia,ロシアの広大な土地,the (    ) land of Russia,ロシアの(    )土地,
1121 ,,numerous,たくさんの,numerous species of birds,たくさんの種の鳥,(    ) species of birds,(    )種の鳥,
1122 ,,rural,田舎の,move to a small rural town,小さな田舎の町に引っ越す,move to a small (    ) town,小さな(    )町に引っ越す,
1123 ,,widespread,広まっている,the widespread use of cell phones,広まっている携帯電話の利用,the (    ) use of cell phones,(    )携帯電話の利用,
1124 ,,complicated,複雑な,a complicated problem,複雑な問題,a (    ) problem,(    )問題,
1125 ,,visible,目に見える,make visible progress,目に見える進歩をとげる,make (    ) progress,(    )進歩をとげる,
1126 ,,raw,生の,eat raw meat,生の肉を食べる,eat (    ) meat,(    )肉を食べる,
1127 ,,remote,へんぴな,live in a remote village,へんぴな村に住む,live in a (    ) village,(    )村に住む,
1128 ,,urgent,緊急の,need urgent action,緊急の行動を必要とする,need (    ) action,(    )行動を必要とする,
1129 ,,silly,ばかな,tell silly jokes,ばかな冗談を言う,tell (    ) jokes,(    )冗談を言う,
1130 ,,striking,いちじるしい,a striking contrast,いちじるしい対照,a (    ) contrast,(    )対照,
1131 ,,adequate,十分な,provide adequate food,十分な食料を供給する,provide (    ) food,(    )食料を供給する,
1132 ,,extraordinary,並はずれた,a man of extraordinary talent,並はずれた才能の持ち主,a man of (    ) talent,(    )才能の持ち主,
1133 ,,odd,おかしな,the odd couple,おかしな２人,the (    ) couple,(    )２人,
1134 ,,abstract,抽象的な,an abstract concept,抽象的な概念,an (    ) concept,(    )概念,
1135 ,,mutual,相互の,mutual understanding,相互の理解,(    ) understanding,(    )理解,
1136 ,,excessive,過度の,excessive use of alcohol,過度のアルコール摂取,(    ) use of alcohol,(    )アルコール摂取,
1137 ,,ashamed,恥ずかしい,I'm ashamed of myself.,自分が恥ずかしい,I'm (    ) of myself.,自分が(    ),
1138 ,,tremendous,とてつもない,a tremendous amount of energy,とてつもない量のエネルギー,a (    ) amount of energy,(    )量のエネルギー,
1139 ,,inevitable,避けられない,Change is inevitable.,変化は避けられない,Change is (    ).,変化は(    ),
1140 ,,pure,純,pure gold,純金,(    ) gold,(    )金,
1141 ,,stable,安定した,a stable condition,安定した状態,a (    ) condition,(    )状態,
1142 ,,indifferent,無関心だ,be indifferent to politics,政治に無関心だ,be (    ) to politics,政治に(    ),
1143 ,,aggressive,攻撃的な,children's aggressive behavior,子供の攻撃的な行動,children's (    ) behavior,子供の(    )行動,
1144 ,,ultimate,究極の,the ultimate goal,究極の目標,the (    ) goal,(    )目標,
1145 ,,shy,内気な,"a quiet, shy girl",静かで内気な女の子,"a quiet, (    ) girl",静かで(    )女の子,
1146 ,,solar,太陽,solar energy,太陽エネルギー,(    ) energy,(    )エネルギー,
1147 ,,profound,深い,a profound meaning,深い意味,a (    ) meaning,(    )意味,
1148 ,,subtle,微妙な,a subtle difference,微妙な違い,a (    ) difference,(    )違い,
1149 ,,conservative,保守,the Conservative Party,保守党,the (    ) Party,(    )党,
1150 ,,brave,勇敢な,a brave young soldier,勇敢な若い兵士,a (    ) young soldier,(    )若い兵士,
1151 ,,intense,強烈な,feel intense pressure,強烈なプレッシャーを感じる,feel (    ) pressure,(    )プレッシャーを感じる,
1152 ,,alcoholic,アルコール,alcoholic drinks like wine,ワインのようなアルコール飲料,(    ) drinks like wine,ワインのような(    )飲料,
1153 ,,manual,手を使う,manual work,手を使う仕事,(    ) work,(    )仕事,
1154 ,,cruel,残酷な,cruel treatment of animals,動物に対する残酷な扱い,(    ) treatment of animals,動物に対する(    )扱い,
1155 ,,rational,理性的な,rational thought,理性的な思考,(    ) thought,(    )思考,
1156 ,,initial,最初の,the initial stages of development,発達の最初の段階,the (    ) stages of development,発達の(    )段階,
1157 ,,immune,免疫,the body's immune system,人体の免疫機構,the body's (    ) system,人体の(    )機構,
1158 ,,linguistic,言語,the linguistic ability of children,子供の言語能力,the (    ) ability of children,子供の(    )能力,
1159 ,,crucial,重大な,play a crucial role,重大な役割を果たす,play a (    ) role,(    )役割を果たす,
1160 ,,verbal,言葉による,verbal communication,言葉によるコミュニケーション,(    ) communication,(    )コミュニケーション,
1161 ,,optimistic,楽観的な,an optimistic view of the future,将来に関する楽観的な見方,an (    ) view of the future,将来に関する(    )見方,
1162 ,,flexible,柔軟な,have flexible thinking,柔軟な考えを持っている,have (    ) thinking,(    )考えを持っている,
1163 ,,grateful,感謝している,I'm grateful for your help.,君の助けに感謝している,I'm (    ) for your help.,君の助けに(    ),
1164 ,,lively,生き生きとした,a lively conversation,生き生きとした会話,a (    ) conversation,(    )会話,
1165 ,,overwhelming,圧倒的な,an overwhelming majority,圧倒的な多数,an (    ) majority,(    )多数,
1166 ,,abundant,豊富な,an abundant supply of food,豊富な食料供給,an (    ) supply of food,(    )食料供給,
1167 ,,selfish,利己的な,a selfish attitude,利己的な態度,a (    ) attitude,(    )態度,
1168 ,,ugly,みにくい,an ugly duckling,みにくいアヒルの子,an (    ) duckling,(    )アヒルの子,
1169 ,,racial,人種の,racial differences,人種の違い,(    ) differences,(    )違い,
1170 ,,prominent,有名な,a prominent scientist,有名な科学者,a (    ) scientist,(    )科学者,
1171 ,,controversial,論議を呼ぶ,a controversial social issue,論議を呼ぶ社会問題,a (    ) social issue,(    )社会問題,
1172 ,,federal,連邦,the Federal Government,連邦政府,the (    ) Government,(    )政府,
1173 ,,ridiculous,ばかげた,a ridiculous error,ばかげたまちがい,a (    ) error,(    )まちがい,
1174 ,,imaginary,架空の,an imaginary country,架空の国,an (    ) country,(    )国,
1175 ,,harsh,厳しい,the harsh realities of life,厳しい人生の現実,the (    ) realities of life,(    )人生の現実,
1176 ,,random,無作為な,a random choice,無作為な選択,a (    ) choice,(    )選択,
1177 ,,adolescent,思春期の,adolescent boys and girls,思春期の少年少女,(    ) boys and girls,(    )少年少女,
1178 ,,up-to-date,最新の,up-to-date fashions,最新の流行,(    ) fashions,(    )流行,
1179 ,,liberal,自由主義の,liberal politics,自由主義の政治,(    ) politics,(    )政治,
1180 ,,prior,前の,the period prior to the war,戦争より前の時代,the period (    ) to the war,戦争より(    )時代,
1181 ,,moderate,適度な,do moderate exercise,適度な運動をする,do (    ) exercise,(    )運動をする,
1182 ,,fluent,流暢だ,be fluent in English,英語が流暢だ,be (    ) in English,英語が(    ),
1183 ,,elaborate,手の込んだ,an elaborate system,手の込んだシステム,an (    ) system,(    )システム,
1184 ,,incredible,信じられない,an incredible story,信じられない話,an (    ) story,(    )話,
1185 ,,radical,根本的な,radical changes,根本的な変化,(    ) changes,(    )変化,
1186 ,,acid,酸性,acid rain,酸性雨,(    ) rain,(    )雨,
1187 ,,deaf,耳が不自由な,sign language for deaf people,耳が不自由な人のための手話,sign language for (    ) people,(    )人のための手話,
1188 ,,medieval,中世の,a medieval castle,中世の城,a (    ) castle,(    )城,
1189 ,,ecological,生態,protect the ecological system,生態系を保護する,protect the (    ) system,(    )系を保護する,
1190 ,,slight,少しの,without the slightest doubt,少しの疑いもなく,without the (    ) doubt,(    )疑いもなく,
1191 ,,ignorant,知らない,be ignorant of the fact,その事実を知らない,be (    ) of the fact,その事実を(    ),
1192 ,,cognitive,認知,children's cognitive abilities,子供の認知能力,children's (    ) abilities,子供の(    )能力,
1193 ,,absolutely,絶対に,It's absolutely necessary.,絶対に必要だ,It's (    ) necessary.,(    )必要だ,
1194 ,,virtually,ほとんど,virtually every woman,ほとんど全ての女性,(    ) every woman,(    )全ての女性,
1195 ,,somewhat,多少,somewhat better than last year,去年より多少よい,(    ) better than last year,去年より(    )よい,
1196 ,,merely,単に,It is merely bad lack.,単に運が悪いだけです,It is (    ) bad lack.,(    )運が悪いだけです,
1197 ,,literally,文字通り,There's literally nothing there.,そこには文字通り何もない,There's (    ) nothing there.,そこには(    )何もない,
1198 ,,seemingly,一見,a seemingly impossible task,一見不可能な仕事,a (    ) impossible task,(    )不可能な仕事,
1199 ,,regardless,関係なく,regardless of age,年齢に関係なく,(    ) of age,年齢に(    ),
1200 ,,thoroughly,徹底的に,thoroughly enjoy the party,パーティを徹底的に楽しむ,(    ) enjoy the party,パーティを(    )楽しむ,
1201 ,,submit,服従する,submit to authority,権威に服従する,(    ) to authority,権威に(    ),
1202 ,,tempt,たくなる,be tempted to call her,彼女に電話をかけたくなる,be (    ) to call her,彼女に電話をかけ(    ),
1203 ,,resign,辞任する,The president will resign soon.,社長はまもなく辞任する,The president will (    ) soon.,社長はまもなく(    ),
1204 ,,conform,従う,conform to the rules,ルールに従う,(    ) to the rules,ルールに(    ),
1205 ,,confine,閉じ込められる,be confined to a small room,小さな部屋に閉じ込められる,be (    ) to a small room,小さな部屋に(    ),
1206 ,,assemble,を組み立てる,assemble small parts,小さい部品を組み立てる,(    ) small parts,小さい部品(    ),
1207 ,,dedicate,ささげている,I am dedicated to my work.,私は仕事に身をささげている,I am (    ) to my work.,私は仕事に身を(    ),
1208 ,,advocate,を主張する,advocate peace,平和を主張する,(    ) peace,平和(    ),
1209 ,,thrive,繁栄する,a thriving economy,繁栄する経済,a (    ) economy,(    )経済,
1210 ,,provoke,を引き起こす,provoke a reaction,反応を引き起こす,(    ) a reaction,反応(    ),
1211 ,,dictate,を決める,The market dictates prices.,市場が価格を決める,The market (    ) prices.,市場が価格(    ),
1212 ,,exploit,を開発する,exploit natural resources,天然資源を開発する,(    ) natural resources,天然資源(    ),
1213 ,,surrender,降参する,surrender to the US army,アメリカ軍に降参する,(    ) to the US army,アメリカ軍に(    ),
1214 ,,reproduce,を再生する,accurately reproduce the sound,正確に音を再生する,accurately (    ) the sound,正確に音(    ),
1215 ,,acknowledge,と認める,acknowledge that a problem exists,問題があると認める,(    ) that a problem exists,問題がある(    ),
1216 ,,swell,ふくらむ,swell like a balloon,風船のようにふくらむ,(    ) like a balloon,風船のように(    ),
1217 ,,shed,を落とす,Trees shed their leaves.,木々が葉を落とす,Trees (    ) their leaves.,木々が葉(    ),
1218 ,,wind,曲がりくねった,the long and winding road,長く曲がりくねった道,the long and (    ) road,長く(    )道,
1219 ,,cite,を引き合いに出す,cite two examples,２つの例を引き合いに出す,(    ) two examples,２つの例(    ),
1220 ,,digest,を消化する,digest food,食べ物を消化する,(    ) food,食べ物(    ),
1221 ,,skip,を抜く,skip lunch,昼食を抜く,(    ) lunch,昼食(    ),
1222 ,,bind,縛られている,be bound tradition,伝統に縛られている,be (    ) tradition,伝統に(    ),
1223 ,,dissolve,を溶かす,dissolve sugar in water,水に砂糖を溶かす,(    ) sugar in water,水に砂糖(    ),
1224 ,,implement,を実行する,implement the secret plan,秘密の計画を実行する,(    ) the secret plan,秘密の計画(    ),
1225 ,,steer,を操縦する,steer the ship,船を操縦する,(    ) the ship,船(    ),
1226 ,,congratulate,祝福する,congratulate you on your success,君の成功を祝福する,(    ) you on your success,君の成功を(    ),
1227 ,,designate,指定された,a designated smoking area,指定された喫煙場所,a (    ) smoking area,(    )喫煙場所,
1228 ,,violate,に違反する,violate the law,法律に違反する,(    ) the law,法律(    ),
1229 ,,presume,と推定される,He is presumed innocent.,彼は無罪だと推定される,He is (    ) innocent.,彼は無罪だ(    ),
1230 ,,recruit,を入れる,recruit new staff,新しいスタッフを入れる,(    ) new staff,新しいスタッフ(    ),
1231 ,,coincide,重なる,His birthday will coincides with mine.,彼の誕生日は私のと重なる,His birthday will (    ) with mine.,彼の誕生日は私のと(    ),
1232 ,,enforce,を施行する,enforce the new law,新しい法律を施行する,(    ) the new law,新しい法律(    ),
1233 ,,displace,国を追われた,people displaced by war,戦争で国を追われた人々,people (    ) by war,戦争で(    )人々,
1234 ,,shrink,縮む,The shirts will shrink.,そのシャツは縮むだろう,The shirts will (    ).,そのシャツは(    )だろう,
1235 ,,betray,を裏切る,betray a good friend,親友を裏切る,(    ) a good friend,親友(    ),
1236 ,,comprise,構成される,The group comprises ten members.,そのグループは10人から構成される,The group (    ) ten members.,そのグループは10人から(    ),
1237 ,,indulge,ふける,indulge in bad habits,悪い習慣にふける,(    ) in bad habits,悪い習慣に(    ),
1238 ,,penetrate,入り込む,penetrate deep into the jungle,ジャングルに奥深く入り込む,(    ) deep into the jungle,ジャングルに奥深く(    ),
1239 ,,devastate,壊滅的な,a devastating effect on nature,自然に対する壊滅的な影響,a (    ) effect on nature,自然に対する(    )影響,
1240 ,,plunge,突っ込む,plunge into the water,水に突っ込む,(    ) into the water,水に(    ),
1241 ,,bounce,はね,The ball bounces back.,ボールがはね返る,The ball (    ) back.,ボールが(    )返る,
1242 ,,contradict,と矛盾する,contradict what he said,彼の言ったことと矛盾する,(    ) what he said,彼の言ったこと(    ),
1243 ,,prescribe,を処方する,prescribe medicine,薬を処方する,(    ) medicine,薬(    ),
1244 ,,oppress,をしいたげる,oppress small nations,小国をしいたげる,(    ) small nations,小国(    ),
1245 ,,cherish,を胸に抱く,cherish a dream,夢を胸に抱く,(    ) a dream,夢(    ),
1246 ,,illuminate,を照らす,illuminate the road,道を照らす,(    ) the road,道(    ),
1247 ,,trigger,引き金を引く,trigger war,戦争の引き金を引く,(    ) war,戦争の(    ),
1248 ,,commute,通勤する,commute from Chiba to Tokyo,千葉から東京に通勤する,(    ) from Chiba to Tokyo,千葉から東京に(    ),
1249 ,,induce,を誘う,induce deep sleep,深い眠りを誘う,(    ) deep sleep,深い眠り(    ),
1250 ,,utilize,を利用する,utilize waste materials,廃棄物を利用する,(    ) waste materials,廃棄物(    ),
1251 ,,snap,ポキンと折れた,The stick snapped.,棒がポキンと折れた,The stick (    ).,棒が(    ),
1252 ,,donate,を提供する,donate blood and organs,血液や臓器を提供する,(    ) blood and organs,血液や臓器(    ),
1253 ,,hatch,かえった,a newly hatched chick,かえったばかりのヒヨコ,a newly (    ) chick,(    )ばかりのヒヨコ,
1254 ,,enclose,閉ざされた,live in an enclosed space,閉ざされた空間で暮らす,live in an (    ) space,(    )空間で暮らす,
1255 ,,prevail,広まっている,the prevailing view,広まっている考え方,the (    ) view,(    )考え方,
1256 ,,sigh,ため息をつく,sigh deeply,深くため息をつく,(    ) deeply,深く(    ),
1257 ,,leak,漏れた,Oil leaked from the tank.,油がタンクから漏れた,Oil (    ) from the tank.,油がタンクから(    ),
1258 ,,compel,強制される,be compelled to work hard,重労働を強制される,be (    ) to work hard,重労働を(    ),
1259 ,,crush,押しつぶされる,be crushed by the pressure,プレッシャーに押しつぶされる,be (    ) by the pressure,プレッシャーに(    ),
1260 ,,comprehend,を理解する,the ability to comprehend language,言語を理解する能力,the ability to (    ) language,言語(    )能力,
1261 ,,negotiate,交渉をする,negotiate for peace,和平交渉をする,(    ) for peace,和平(    ),
1262 ,,persist,残る,persist throughout life,生涯を通じて残る,(    ) throughout life,生涯を通じて(    ),
1263 ,,multiply,増える,multiply by five,5倍に増える,(    ) by five,5倍に(    ),
1264 ,,conceive,考える,conceive of life as a game,人生をゲームと考える,(    ) of life as a game,人生をゲームと(    ),
1265 ,,compensate,埋め合わせる,compensate for the loss,損失を埋め合わせる,(    ) for the loss,損失を(    ),
1266 ,,suspend,を中止する,suspend the project,計画を中止する,(    ) the project,計画(    ),
1267 ,,stir,をかきたてる,stir emotions,感情をかきたてる,(    ) emotions,感情(    ),
1268 ,,soak,を浸す,soak a towel in hot water,湯にタオルを浸す,(    ) a towel in hot water,湯にタオル(    ),
1269 ,,refine,に磨きをかける,refine techniques,技術に磨きをかける,(    ) techniques,技術(    ),
1270 ,,arouse,をかきたてる,arouse her curiosity,彼女の好奇心をかきたてる,(    ) her curiosity,彼女の好奇心(    ),
1271 ,,precede,に先行する,Speech precedes writing.,話し言葉は書き言葉に先行する,Speech (    ) writing.,話し言葉は書き言葉(    ),
1272 ,,render,する,render water undrinkable,水を飲めなくする,(    ) water undrinkable,水を飲めなく(    ),
1273 ,,mount,をすえつける,mount the engine in the car,車にエンジンをすえつける,(    ) the engine in the car,車にエンジン(    ),
1274 ,,retreat,退く,retreat to a safe distance,安全な距離まで退く,(    ) to a safe distance,安全な距離まで(    ),
1275 ,,startle,驚くような,startling results,驚くような結果,(    ) results,(    )結果,
1276 ,,dare,勇気がある,No one dares to tell the truth.,真実を話す勇気がある人はいない,No one (    ) to tell the truth.,真実を話す(    )人はいない,
1277 ,,sphere,範囲,a wide sphere of activity,幅広い活動範囲,a wide (    ) of activity,幅広い活動(    ),
1278 ,,sequence,連,a sequence of events,一連の事件,a (    ) of events,一(    )の事件,
1279 ,,deposit,貯金,a large deposit in the bank,多額の銀行貯金,a large (    ) in the bank,多額の銀行(    ),
1280 ,,poll,調査,an opinion poll,世論調査,an opinion (    ),世論(    ),
1281 ,,proceed,進む,proceed with caution,慎重に進む,(    ) with caution,慎重に(    ),
1282 ,,rage,激しい怒り,feel a great rage,激しい怒りを感じる,feel a great (    ),(    )を感じる,
1283 ,,formula,式,a mathematical formula,数式,a mathematical (    ),数(    ),
1284 ,,plot,筋,the plot of the movie,その映画の筋,the (    ) of the movie,その映画の(    ),
1285 ,,scope,範囲,beyond the scope of science,科学の範囲を越えて,beyond the (    ) of science,科学の(    )を越えて,
1286 ,,norm,規範,the socially accepted norm,社会的に認められた規範,the socially accepted (    ),社会的に認められた(    ),
1287 ,,disgust,反感,look at them in disgust,反感を持って彼らを見る,look at them in (    ),(    )を持って彼らを見る,
1288 ,,compromise,妥協,make a small compromise,小さな妥協をする,make a small (    ),小さな(    )をする,
1289 ,,supervisor,監督者,a production supervisor,生産監督者,a production (    ),生産(    ),
1290 ,,paradox,逆説,a strange paradox,奇妙な逆説,a strange (    ),奇妙な(    ),
1291 ,,tissue,組織,nerve tissue,神経組織,nerve (    ),神経(    ),
1292 ,,breakdown,崩壊,the breakdown of the family,家庭の崩壊,the (    ) of the family,家庭の(    ),
1293 ,,initiative,構想,a new peace initiative,新たな平和構想,a new peace (    ),新たな平和(    ),
1294 ,,fabric,組織,the social fabric of Japan,日本の社会組織,the social (    ) of Japan,日本の社会(    ),
1295 ,,publicity,広告,newspaper publicity,新聞広告,newspaper (    ),新聞(    ),
1296 ,,summit,頂上,reach the summit,頂上に達する,reach the (    ),(    )に達する,
1297 ,,flock,群れ,a flock of white sheep,白いヒツジの群れ,a (    ) of white sheep,白いヒツジの(    ),
1298 ,,plague,疫病,prevent the spread of plague,疫病の広がりを防ぐ,prevent the spread of (    ),(    )の広がりを防ぐ,
1299 ,,haste,あわてて,write a letter in haste,あわてて手紙を書く,write a letter in (    ),(    )手紙を書く,
1300 ,,nap,うたた寝,take a nap in the afternoon,午後にうたた寝をする,take a (    ) in the afternoon,午後に(    )をする,
1301 ,,ally,同盟国,America and its allies,アメリカとその同盟国,America and its (    ),アメリカとその(    ),
1302 ,,draft,草稿,the first draft of his novel,彼の小説の最初の草稿,the first (    ) of his novel,彼の小説の最初の(    ),
1303 ,,spectacle,光景,a dramatic spectacle,劇的な光景,a dramatic (    ),劇的な(    ),
1304 ,,premise,前提,the major premise,大前提,the major (    ),大(    ),
1305 ,,asset,財産,a valuable asset,価値ある財産,a valuable (    ),価値ある(    ),
1306 ,,lag,時差ぼけ,suffer from jet lag,時差ぼけで苦しむ,suffer from jet (    ),(    )で苦しむ,
1307 ,,therapy,療法,gene therapy,遺伝子療法,gene (    ),遺伝子(    ),
1308 ,,reception,もてなし,receive a warm reception,あたたかいもてなしを受ける,receive a warm (    ),あたたかい(    )を受ける,
1309 ,,compound,化合物,organic compounds,有機化合物,organic (    ),有機(    ),
1310 ,,blessing,恵み,the blessings of nature,自然の恵み,the (    ) of nature,自然の(    ),
1311 ,,sensation,感覚,the sensation of flying,飛んでいるような感覚,the (    ) of flying,飛んでいるような(    ),
1312 ,,recession,不況,the worst economic recession,最悪の不況,the worst economic (    ),最悪の(    ),
1313 ,,pole,極,the North Pole,北極,the North (    ),北(    ),
1314 ,,outlook,考え方,a positive outlook on life,人生に対する肯定的な考え方,a positive (    ) on life,人生に対する肯定的な(    ),
1315 ,,endeavor,活動,every field of human endeavor,人間活動のあらゆる分野,every field of human (    ),人間(    )のあらゆる分野,
1316 ,,mercy,情け容赦,war without mercy,情け容赦のない戦争,war without (    ),(    )のない戦争,
1317 ,,counterpart,子供,Chinese children work harder than their Japanese counterparts.,中国の子供は日本の子供よりよく勉強する,Chinese children work harder than their Japanese (    ).,中国の(    )は日本の子供よりよく勉強する,
1318 ,,session,期間,a training session,訓練期間,a training (    ),訓練(    ),
1319 ,,spectrum,範囲,a wide spectrum of interests,広範囲の関心事,a wide (    ) of interests,広(    )の関心事,
1320 ,,junk,ジャンク,avoid junk food,ジャンクフードを避ける,avoid (    ) food,(    )フードを避ける,
1321 ,,worship,崇拝,the worship of God,神に対する崇拝,the (    ) of God,神に対する(    ),
1322 ,,apt,やすい,be apt to forget names,名前を忘れやすい,be (    ) to forget names,名前を忘れ(    ),
1323 ,,humble,謙虚な,a humble attitude,謙虚な態度,a (    ) attitude,(    )態度,
1324 ,,entitle,権利がある,be entitled to the money,そのお金をもらう権利がある,be (    ) to the money,そのお金をもらう(    ),
1325 ,,valid,正当な,a valid reason for being late,遅れてくる正当な理由,a (    ) reason for being late,遅れてくる(    )理由,
1326 ,,faint,かすかな,see a faint light,かすかな光が見える,see a (    ) light,(    )光が見える,
1327 ,,stiff,堅苦しい,a stiff reply,堅苦しい答え,a (    ) reply,(    )答え,
1328 ,,obscure,はっきりとわからない,for some obscure reason,はっきりとわからない理由で,for some (    ) reason,(    )理由で,
1329 ,,fierce,激しい,survive the fierce competition,激しい競争に生き残る,survive the (    ) competition,(    )競争に生き残る,
1330 ,,acute,深刻な,the most acute problem,最も深刻な問題,the most (    ) problem,最も(    )問題,
1331 ,,idle,何もせず,sit idle all day,何もせず一日座っている,sit (    ) all day,(    )一日座っている,
1332 ,,crude,粗末な,crude stone tools,粗末な石器,(    ) stone tools,(    )石器,
1333 ,,jealous,ねたむ,be jealous of his success,彼の成功をねたむ,be (    ) of his success,彼の成功を(    ),
1334 ,,pregnant,妊娠している,his pregnant wife,彼の妊娠している妻,his (    ) wife,彼の(    )妻,
1335 ,,liable,がちである,be liable to forget it,それを忘れがちである,be (    ) to forget it,それを忘れ(    ),
1336 ,,stubborn,頑固な,a stubborn father,頑固な父親,a (    ) father,(    )父親,
1337 ,,decent,まともな,make a decent living,まともな暮らしをする,make a (    ) living,(    )暮らしをする,
1338 ,,marvelous,驚くべき,a marvelous record,驚くべき記録,a (    ) record,(    )記録,
1339 ,,misleading,誤解を招く,a misleading expression,誤解を招く表現,a (    ) expression,(    )表現,
1340 ,,synthetic,合成,synthetic fiber,合成繊維,(    ) fiber,(    )繊維,
1341 ,,classical,クラシック,classical music,クラシック音楽,(    ) music,(    )音楽,
1342 ,,Muslim,イスラム,in the Muslim world,イスラム世界で,in the (    ) world,(    )世界で,
1343 ,,anticipate,を予想する,anticipate the future,未来を予想する,(    ) the future,未来(    ),
1344 ,,rub,をこする,rub the skin with a towel,タオルで肌をこする,(    ) the skin with a towel,タオルで肌(    ),
